Table,Number of Records
acquisition_sample,6490
agricultural_acquisition,810
branded_food,1555131
fndds_derivation,49
fndds_ingredient_nutrient_value,151580
food,1605403
food_attribute,1803212
food_attribute_type,5
food_calorie_conversion_factor,4888
food_category,28
food_component,3066
food_nutrient,21025859
food_nutrient_conversion_factor,11100
food_nutrient_derivation,64
food_nutrient_source,10
food_portion,56893
food_protein_conversion_factor,6230
food_update_log_entry,1190347
foundation_food,159
input_food,29217
lab_method,274
lab_method_code,292
lab_method_nutrient,1005
market_acquisition,5706
measure_unit,122
nutrient,473
nutrient_incoming_name,730
retention_factor,270
sample_food,2208
sr_legacy_food,7793
sub_sample_food,26431
sub_sample_result,85773
survey_fndds_food,7083
wweia_food_category,167
